#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Main string file (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the main strings.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved build list sequence strings to gl_str.txt.
#   - April 7th 2005 Martin Gühmann
# - Added str_ldl_OptimizeSpecialists string - April 7th 2005 Martin Gühmann 
# - Added str_ldl_DD_OPTIMIZE_SLIDERS for sliders optimization button. 
#   - April 9th 2005 Martin Gühmann
# - Moved Great Libary title string from add_str.txt. - April 9th 2005 Martin Gühmann
# - Added battleview window strings for attack building bonuses, and modified
#   new combat names. - 07-Mar-2009 Maq
# - Added new strings for redesigned City Window. - 28-Mar-2009 Maq
# - Added strings for political map - 6-Jul-2009 EPW
# - Added new strings for redesigned empire manager. - 22-Jul-2009 Maq
# -Added strings for view capital buttons - 4-Jan-EPW
# -Added string for relationships 7-Jan-EPW
#----------------------------------------------------------------------------

##Those darn hard-coded strings 03-09-99
str_ldl_Already_Offer	"已提供特产，要变更吗？"
str_tbl_ldl_Sale_Value_COLON_	"贩卖价值："
str_tbl_ldl_SAVE_MP_GAME	"储存多人联机游戏"
str_tbl_ldl_SAVE_PBEM_GAME	"储存PBEM游戏"
str_tbl_ldl_Save_then_Load	"存盘后加载"
str_tbl_ldl_Save_then_Quit	"储存后结束"
str_tbl_ldl_Save_then_Restart	"储存后重新开始"
str_tbl_ldl_SellIndulgencesButton	"SellIndulgencesButton"
str_tbl_ldl_SpyButton	"SpyButton"
str_tbl_ldl_SoothsayButton	"SoothsayButton"
str_tbl_ldl_SettleButton	"SettleButton"
str_tbl_ldl_StealDiscoveryButton	"StealDiscoveryButton"
str_tbl_ldl_ThrowPartyButton	"ThrowPartyButton"
str_tbl_ldl_SleepButton	"SleepButton"
str_tbl_ldl_SueButton	"SueButton"
str_tbl_ldl_STRING_TABLE_TEST	"STRING_TABLE_TEST"
str_ldl_Active_Abilities	"激活能力"
str_ldl_Add_Tab	"增加卷标"
str_ldl_ATT	"ATT"
str_ldl_G	"G"
str_ldl_GW	"GW"
str_ldl_HP	"HP"
str_ldl_HYPHEN	"-"
str_ldl_ICQ_COLON	"讯息服务ID#："
str_ldl_MAP_CONTROLS	"地图控制"
str_ldl_Musician	"音乐家"
str_ldl_Musicians	"音乐家们"
str_ldl_OPEN_BRACKET	"<"
str_ldl_This_is_a_City	"这是一座城市"
str_tbl_ldl_Set_Waypoint	"设定转折点"
str_tbl_ldl_UngroupButton	"UngroupButton"
str_tbl_ldl_What_the_	"什么"
str_tbl_ldl_Very_Risky	"非常危险的"
str_tbl_ldl_upd002_tga	"upd002.tga"
str_tbl_ldl_upd003_tga	"upd003.tga"
str_tbl_ldl_upd004_tga	"upd004.tga"

# stuff for 640 version
str_tbl_ldl_upbb0515_tga	"upbb0515.tga"
str_tbl_ldl_upbb0516_tga	"upbb0516.tga"
str_tbl_ldl_upbb0517_tga	"upbb0517.tga"
str_tbl_ldl_upbb0518_tga	"upbb0518.tga"
str_tbl_ldl_upbb0519_tga	"upbb0519.tga"
str_tbl_ldl_upbb0520_tga	"upbb0520.tga"
str_tbl_ldl_upbb0521_tga	"upbb0521.tga"
str_tbl_ldl_upbb0522_tga	"upbb0522.tga"
str_tbl_ldl_upbb0506_tga	"upbb0506.tga"
str_tbl_ldl_upbb0513_tga	"upbb0513.tga"

str_tbl_ldl_Music_Track_1	"部落鼓"
str_tbl_ldl_Music_Track_2	"乔治亚的灵魂"
str_tbl_ldl_Music_Track_3	"赛尔特的冬天"
str_tbl_ldl_Music_Track_4	"亚洲短调"
str_tbl_ldl_Music_Track_5	"电子维纳斯"
str_tbl_ldl_Music_Track_6	"一千零一夜"
str_tbl_ldl_Music_Track_7	"刚果曲目"
str_tbl_ldl_Music_Track_8	"中空"
str_tbl_ldl_Music_Track_9	"安魂曲"
str_tbl_ldl_Music_Track_10	"卡莉舞曲"


###Grammar and Description Stuff###
GRAMMAR_MALE_LOSER_RANK_1     "穷困的人"
GRAMMAR_FEMALE_LOSER_RANK_1   "穷困的人"
GRAMMAR_MALE_LOSER_RANK_2     "胆小如鼠的人"
GRAMMAR_FEMALE_LOSER_RANK_2   "胆小如鼠的人"
GRAMMAR_MALE_LOSER_RANK_3     "红脸的人"
GRAMMAR_FEMALE_LOSER_RANK_3   "红脸的人"
GRAMMAR_MALE_LOSER_RANK_4     "疲惫的人"
GRAMMAR_FEMALE_LOSER_RANK_4   "疲惫的人"
GRAMMAR_MALE_LOSER_RANK_5     "柔顺的人"
GRAMMAR_FEMALE_LOSER_RANK_5   "柔顺的人"
GRAMMAR_MALE_LOSER_RANK_6     "迟缓的人"
GRAMMAR_FEMALE_LOSER_RANK_6   "迟缓的人"

GRAMMAR_MALE_WINNER_RANK_1    "认真的人"
GRAMMAR_FEMALE_WINNER_RANK_1  "认真的人"
GRAMMAR_MALE_WINNER_RANK_2    "聪明的人"
GRAMMAR_FEMALE_WINNER_RANK_2  "聪明的人"
GRAMMAR_MALE_WINNER_RANK_3    "勇敢的人"
GRAMMAR_FEMALE_WINNER_RANK_3  "勇敢的人"
GRAMMAR_MALE_WINNER_RANK_4    "雄才大略的人"
GRAMMAR_FEMALE_WINNER_RANK_4  "雄才大略的人"
GRAMMAR_MALE_WINNER_RANK_5    "不屈不挠的人"
GRAMMAR_FEMALE_WINNER_RANK_5  "不屈不挠的人"
GRAMMAR_MALE_WINNER_RANK_6    "具有文明霸主相的人"
GRAMMAR_FEMALE_WINNER_RANK_6  "具有文明霸主相的人"

PLAYER_DESCRIPTION_LOSER_RANK_1			"{player[0].leader_name}"
PLAYER_DESCRIPTION_LOSER_RANK_2			"{player[0].leader_name}"
PLAYER_DESCRIPTION_LOSER_RANK_3			"{player[0].leader_name}"
PLAYER_DESCRIPTION_LOSER_RANK_4			"{player[0].leader_name}"
PLAYER_DESCRIPTION_LOSER_RANK_5			"{player[0].leader_name}"
PLAYER_DESCRIPTION_LOSER_RANK_6			"{player[0].leader_name}"

PLAYER_DESCRIPTION_WINNER_RANK_1		"{player[0].leader_name}"
PLAYER_DESCRIPTION_WINNER_RANK_2		"{player[0].leader_name}"
PLAYER_DESCRIPTION_WINNER_RANK_3		"{player[0].leader_name}"
PLAYER_DESCRIPTION_WINNER_RANK_4		"{player[0].leader_name}"
PLAYER_DESCRIPTION_WINNER_RANK_5		"{player[0].leader_name}"
PLAYER_DESCRIPTION_WINNER_RANK_6		"{player[0].leader_name}"

str_tbl_ldl_upba0504_tga	"upba0504.tga"
str_tbl_ldl_upba0511_tga	"upba0511.tga"
str_tbl_ldl_upba0507_tga	"upba0507.tga"
str_tbl_ldl_upba0514_tga	"upba0514.tga"
str_tbl_ldl_upba0526_tga	"upba0526.tga"
str_tbl_ldl_upba0527_tga	"upba0527.tga"

str_tbl_ldl_upbb0504_tga	"upbb0504.tga"
str_tbl_ldl_upbb0511_tga	"upbb0511.tga"
str_tbl_ldl_upbb0507_tga	"upbb0507.tga"
str_tbl_ldl_upbb0514_tga	"upbb0514.tga"
str_tbl_ldl_upbb0526_tga	"upbb0526.tga"
str_tbl_ldl_upbb0527_tga	"upbb0527.tga"

#
# SAM030199 added these two for the graphics screen
# my apologies
#
str_ldl_Unit_Animation_Off	"部队动画关闭"
str_ldl_Unit_Animation_On	"部队动画开启"

#
# CJI021099 Added these for Civ panel
#
str_ldl_now_researching	"现正研发："
str_ldl_discovery_in	"科技："

str_ldl_SCEN_LOAD "确定"
str_ldl_SCEN_SAVE "储存"
str_ldl_SCEN_NEW_PACK "新……"

str_ldl_PackDesc "解说："
str_ldl_PackName "名称："
str_ldl_PackDir  "目录："

str_ldl_AddPlayer "增加玩家"
str_ldl_RemovePlayer "移除玩家"

str_ldl_ScenModeFull "完整游戏"
str_ldl_ScenModePlayerNoCiv "依玩家别"
str_ldl_ScenModePlayerWithCiv "玩家 w/ 国家"
str_ldl_ScenModeJustCivs "依国别"
str_ldl_ScenMode "模式："

#
# Sprite editor stuff
#
str_SprEd_Load					"  加载"
str_SprEd_Save					"  储存"
str_SprEd_Move "  移动"
str_SprEd_Attack "  攻击"
str_SprEd_Idle "  闲置"
str_SprEd_Victory "  胜利"
str_SprEd_Work "  工作"
str_SprEd_StepPlus " 步骤+"
str_SprEd_StepMinus " 步骤-"
str_SprEd_PlayOnce " 播放一次"
str_SprEd_Loop " 循环"
str_SprEd_FacingPlus " 面向+"
str_SprEd_FacingMinus " 面向-"



################################
# #                          # #
# ##                        ## #
# ###ADDED from add_str.txt### #
# ##  by Jonathan           ## #
# #   9/5/00                 # #
################################

## new keymap strings
str_tbl_ldl_Toggle_City_Names 		"显示城市名称"

## Graphics Options
str_ldl_City_Names_Off			"关闭城市名称"
str_ldl_City_Names_On			"显示城市名称"

str_ldl_Unit_Speed			"部队速度："

## Gameplay Options
str_ldl_Show_All_Battles_Off		"关闭显示所有战斗"
str_ldl_Show_All_Battles_On		"开启显示所有战斗"
str_ldl_Mouse_Speed			"鼠标速度："
str_ldl_Autosave_Off			"关闭自动储存服务"
str_ldl_Autosave_On			"开启自动储存服务"
str_ldl_Left_Handed_Mouse_Off		"右手操控鼠标"
str_ldl_Left_Handed_Mouse_On		"左手操控鼠标"

# 'A' is for Alliance in the diplomacy screen
str_ldl_Alliance			"A"

# for Terrain Pad
str_ldl_Clear_Map			"清除地图"

# Starting Locations Pad Strings
str_ldl_Start_Loc			"起始位置"

str_ldl_Start_Loc_Title			"激活位置编辑器"
str_ldl_Start_Loc_Mode_Text		"起始位置模式："
str_ldl_Start_Loc_Mode_None		"无起始位置"
str_ldl_Start_Loc_Mode_Player		"依玩家别设定起始位置"
str_ldl_Start_Loc_Mode_Civ		"依国别设定起始位置"
str_ldl_Start_Loc_Civ_Text		"帝国："
str_ldl_Start_Loc_Player_Text		"玩家："
str_ldl_Player_Civ_Name_Text		"帝国/玩家名称"
str_ldl_Start_Loc_None			"未使用"
str_ldl_Start_Loc_Delete		"删除位置"
str_ldl_Civs_Unlocked			"国家解锁"
str_ldl_Civs_Locked			"锁定国家"
str_ldl_Player_Text			"玩家"

# for disclaimer window
str_ldl_Disclaimer			"放弃权利声明"
str_ldl_I_Agree				"我同意上述条款"
str_ldl_I_Disagree			"我不同意"

#Netshell stuff
str_ldl_No_Scenario 			"找不到剧情关卡。"

# naming the cities
str_ldl_Name_City_Title			"城市名称"
str_ldl_Name_City_Message		"想替城市取什么名字？ "

str_ldl_SP_SCENARIO_PICKER		"选择剧情关卡"
str_ldl_SP_STANDARD_GAME		"标准游戏"
str_ldl_SP_SCENARIO_STATIC_TEXT		"剧情关卡："
str_ldl_SCENARIO_PICKER_TITLE		"选择剧情关卡"
str_ldl_PACK_INSTRUCTIONS		"Activision不为游戏编辑器或由编辑器所设计的\n新游戏元素提供技术支持。"
str_ldl_AVAILABLE_SCEN_PACK		"可使用的剧情关卡档案"
#str_ldl_PACK_INSTRUCTIONS		"请选择您想使用的剧情关卡档案："
str_ldl_SCEN_INSTRUCTIONS		"选择想玩的剧情关卡再按确定"
str_ldl_LOAD_SCENARIO_GAME		"加载剧情关卡"
str_ldl_SAVE_SCENARIO			"储存剧情关卡"
str_ldl_SAVE_SCENARIO_AS		"将剧情关卡储存为"

str_ERR_CANT_LOCATE_SCEN		"无法找到此游戏存盘相关的剧情关卡。寻找中："
str_NAME_SCENARIO			"替剧情关卡命名"
str_DEFAULT_SCENARIO_NAME		"重设游戏中所有剧情关卡"
str_NAME_SCENARIO_MESSAGE		"请替这个剧情关卡命名。剧情关卡是由名称来辨别，所以名称不能重复。"

ldl_str_EMAIL_LIST_TITLE		"设定E-MAIL游戏"
ldl_str_HOTSEAT_LIST_TITLE		"设定同一计算机轮玩游戏"

str_ldl_Player_Type 			"类型"
str_ldl_Email_Address 			"Email"
str_ldl_Player_Name 			"名称"

str_ldl_HOTSEAT 			"轮玩游戏"
str_ldl_EMAIL 				"Email游戏 "

str_tbl_ldl_Toggle_Trade_Routes 	"显示/隐藏贸易路线"
str_tbl_ldl_Execute_Eyepoint 		"出射点"

str_ldl_Segment 			"片段"
str_ldl_Source 				"来源"
str_ldl_Continue 			"继续"

str_ldl_Expression 			"表达式"
str_ldl_New 				"新"
str_ldl_Clear 				"清除"

str_ldl_B 				"B"
str_ldl_Watch 				"观看"

str_ldl_Step 				"跨步"
str_ldl_StepInto 			"步入"

str_ldl_Set_Conditional 		"设定条件"
str_ldl_Set_Conditional_Message 	"当条件成立时终止"

str_ldl_CITY_MANAGER 			"市政官"
str_ldl_TILE_IMPROVEMENTS 		"地上设施"
str_ldl_City_Manager_Title		"市政官"

#City window strings

str_ldl_CityHack_H 			"H"
str_ldl_CityHack_HVal 			"幸福度"
str_ldl_CityHack_G 			"G"
str_ldl_CityHack_GVal 			"黄金"
str_ldl_CityHack_F 			"F"
str_ldl_CityHack_FVal 			"食物"
str_ldl_CityHack_P 			"P"
str_ldl_CityHack_PVal 			"人口"
str_ldl_CityHack_S 			"S"
str_ldl_CityHack_SVal 			"科学"

str_ldl_Entertainers 			"艺人"
str_ldl_Farmers 			"农夫"
str_ldl_Laborers 			"劳工"
str_ldl_Merchants 			"商人"
str_ldl_Scientists 			"科学家"
str_ldl_0 				"0"

str_ldl_ShowResourceMap 		"显示资源地图"
str_ldl_ShowWorkers 			"显示工人"

str_ldl_percent 			"%"

str_ldl_Priority 			"市政要点："

str_ldl_GovernorOn 			"市长：开"
str_ldl_GovernorOff 			"市长：关"

str_ldl_CityHack_C 			"C"
str_ldl_CityHack_M 			"M"
str_ldl_CityHack_A 			"A"

str_ldl_ShowInventory 			"显示清单"
str_ldl_ShowQueue     			"显示排程"

str_ldl_EditQueue 			"建造"
str_ldl_HideQueue 			"隐藏排程"

str_ldl_OptimizeSpecialists			"优选专家"

str_ldl_Costs 				"费用"
str_ldl_Gives 				"给与"
str_ldl_YouHave 			"您拥有"

str_ldl_RushBuy 			"快速购买"
str_ldl_Sell 				"变卖"

str_ldl_Population 			"人口："
str_ldl_Growth 				"成长："
str_ldl_CityList 			"城市列表"

str_ldl_ConversionLoss				"失去信仰"
str_ldl_FranchiseLoss				"失去公民权"

str_ldl_GrowthTurns				"成长轮回"

str_ldl_DipProposalsReceived 		"接获之提议"
str_ldl_DipProposalsMade     		"送出之提议"

str_ldl_DipRespond 			"回复选定提议"
str_ldl_DipShowHistory 			"显示历史"
str_ldl_DipWithdraw 			"取消"
str_ldl_DipCounter 			"反驳"
str_ldl_DipReject 			"拒绝"
str_ldl_DipAccept 			"接受"
str_ldl_DipCreate 			"提出新议"
str_ldl_DipClose 			"关闭"

str_ldl_DipTitleCreateNewProposal 	"提出新建议"
str_ldl_DipTitleCreateCounterProposal 	"提出相反建议"
str_ldl_DipSelectCiv 			"1) 选择帝国"
str_ldl_DipSelectTone 			"2) 选择语气"
str_ldl_DipRequest 			"3a) 请求"
str_ldl_DipTreaty 			"3b) 条约"
str_ldl_DipGift 			"3c) 礼物"
str_ldl_DipExRequest 			"4a) 请求"
str_ldl_DipExTreaty 			"4b) 条约"
str_ldl_DipExGift 			"4c) 礼物"
str_ldl_DipExchange 			"交换"
str_ldl_DipTo 				"给："
str_ldl_DipProposal 			"提议："
str_ldl_DipAnd 				"以及："
str_ldl_DipClearForm 			"清除表格"
str_ldl_DipSendProposal 		"递交提议"
str_ldl_DipSendCounterProposal 		"递交相反提议"
str_ldl_DipReturnToNegotiations 	"回到谈判桌"

str_ldl_DipTone0 			"宽宏有量/亲切"
str_ldl_DipTone1 			"友善/平等"
str_ldl_DipTone2 			"奉承/卑微"
str_ldl_DipTone3 			"傲慢/愤慨"
str_ldl_DipTone4 			"敌意/愤怒"

str_dip_InvalidProposal 		"从左手边的清单里选择一项提议"

str_ldl_Threaten 			"威胁"


# 
# New Control Panel Strings
#

str_ldl_CivTabTitle 			"帝国"
str_ldl_MsgTabTitle 			"讯息"
str_ldl_CityTabTitle 			"城市"
str_ldl_UnitTabTitle 			"部队"
str_ldl_TileTabTitle 			"地形"

#
# Menu Bar Strings
#

str_ldl_CivMenuTitle 			"帝国"
str_ldl_CitiesMenuTitle			"城市"
str_ldl_UnitsMenuTitle			"部队"
str_ldl_DiplomacyMenuTitle		"外交"
str_ldl_ScienceMenuTitle		"科学"
str_ldl_TradeMenuTitle			"贸易"
str_ldl_GLMenuTitle			"大图书馆"
str_ldl_InfoMenuTitle			"统计数据"
str_ldl_OptionsMenuTitle		"选项"

# Empire Menu Strings
str_ldl_EmpireManager			"帝国官"
str_ldl_ScienceManager				"科学官"
str_ldl_TradeOpenMarket			"贸易-开放市场"
str_ldl_Gaia				"盖亚控制器"

# Cities Menu Strings
str_ldl_CityManagement			"市政官"
str_ldl_NatlManager			"国政官"	 
str_ldl_BuildQueue			"建设官"    


# Units Menu Strings
str_ldl_UnitManager			"军务官"

# Diplomacy Menu Strings
str_ldl_Negotiations			"协商"
str_ldl_DiplomacyManager		"外务官"
str_ldl_NewProposal			"新提议"

# Science Menu Strings
str_ldl_ScienceScreen			"科学窗口"
str_ldl_GreatLibrary			"大图书馆" 

# Trade Menu Strings
str_ldl_TradeScreen			"贸易窗口"

# GL Menu Strings
str_ldl_GreatLibrary			"大图书馆"

# Info Menu Strings
str_ldl_Score				"分数"		
str_ldl_Ranking				"排名"		
str_ldl_Timeline			"时间表"	

# Options Menu Strings
str_ldl_Gameplay			"游戏操作"		
str_ldl_MapFilters			"地图滤镜"	
str_ldl_Graphics			"画面"		
str_ldl_Sound				"音效"			
str_ldl_Music				"音乐"
str_ldl_Advanced			"进阶"      
str_ldl_SaveGame			"储存游戏"		
str_ldl_LoadGame			"加载游戏"		
str_ldl_Restart				"重新开始"		
str_ldl_NewGame				"新游戏"		
str_ldl_Quit				"退出"	

# End of Menu Strings

str_ldl_NewArmy 			"新军队"
str_ldl_SingleUnits 			"其它部队"
str_ldl_ArmyCount 			"在军队中：%d"
str_ldl_Armies 				"军队"


##
## Scenario Editor strings
##

str_ldl_ScenYear 			"年代"
str_ldl_NumPlayers 			"# 玩家"

str_ldl_SaveMap 			"储存地图"
str_ldl_LoadMap 			"加载地图"
str_ldl_SaveScenario 			"储存剧情关卡"
str_ldl_LoadScenario 			"加载剧情关卡"
str_ldl_MapSize 			"地图尺寸"
str_ldl_Barbarians 			"蛮族"

str_ldl_World 				"世界"
str_ldl_Unit 				"部队"
str_ldl_City 				"城市"
str_ldl_Civ 				"帝国"
str_ldl_Script 				"原本"

str_ldl_ScenLand 			"陆地"
str_ldl_ScenSea 			"海洋"
str_ldl_ScenAir 			"天空"
str_ldl_ScenSpecial 			"特殊"

str_ldl_LegalOnly "仅限合法"
str_ldl_ShowLabels "显示卷标"

str_ldl_ShowStatistics 			"显示统计数据"
str_ldl_HideStatistics 			"隐藏统计数据"
str_ldl_Total "汇总"

str_ldl_Exclude 			"排除"
str_ldl_AddBuildings 			"增加建物"
str_ldl_AddWonders 			"增加奇观"
str_ldl_AddAdvances 			"增加科技"
str_ldl_Load 				"加载"
str_ldl_FileName 			"档案："

str_ldl_Leader 				"领袖姓名："
str_ldl_CityName 			"城市名称："

# MDS 091300
# Added for Scenario Editor buttons
#
str_tbl_ldl_XWrap		"X轴"
str_tbl_ldl_YWrap		"Y轴"
str_tbl_ldl_Cut			"切除选定区域"
str_tbl_ldl_Copy		"复制选定区域"
str_tbl_ldl_Paste		"贴上区域"
str_tbl_ldl_SmallBrush	"小毛刷"
str_tbl_ldl_MedBrush	"中毛刷"
str_tbl_ldl_LargeBrush	"大毛刷"
str_tbl_ldl_SaveClip	"储存回纹针"
str_tbl_ldl_LoadClip	"加载回纹针"
str_tbl_ldl_Explore		"将地图设定为已探索"
str_tbl_ldl_Unexplore	"将地图设定为未探索"
str_tbl_ldl_Fog			"开启战场迷雾"


##
## Order Strings
##

str_ldl_order_attack 			"攻击"
str_ldl_order_move 			"移动"
str_ldl_order_paradrop 			"空降"
str_ldl_order_investigate_city 		"调查城市"
str_ldl_order_steal_technology 		"窃取科技"
str_ldl_order_incite_revolution 	"煽动革命"
str_ldl_order_assassinate 		"暗杀"
str_ldl_order_investigate_readiness 	"调查整备率"
str_ldl_order_bombard 			"轰炸"
str_ldl_order_sue 			"控告"
str_ldl_order_franchise 		"专卖店"
str_ldl_order_sue_franchise 		"控告专卖店" 
str_ldl_order_establish_embassy 	"设立大使馆"
str_ldl_order_expel 			"驱逐"
str_ldl_order_cause_unhappiness 	"造成人民不满"
str_ldl_order_plant_nuke 		"安置核弹"
str_ldl_order_slave_raid 		"强掳奴隶"
str_ldl_order_enslave_settler 		"强掳开拓队"
str_ldl_order_underground_railway 	"解放奴隶"
str_ldl_order_incite_uprising 		"煽起暴动"
str_ldl_order_bio_infect 		"生化感染"
str_ldl_order_plague 			"瘟疫"
str_ldl_order_nano_infect 		"微菌感染"
str_ldl_order_convert 			"感化城市"
str_ldl_order_reform 			"改革城市"
str_ldl_order_indulgence 		"出售赎罪券"
str_ldl_order_soothsay 			"负面预言"
str_ldl_order_create_park 		"微菌净化攻击"
str_ldl_order_pillage 			"掠夺"
str_ldl_order_injoin 			"发出强制令"
str_ldl_order_airlift 			"升空"
str_ldl_order_throw_party 		"停止接待会"
str_ldl_order_intercept_trade 		"掠夺贸易路线"
str_ldl_order_pillage 			"掠夺"
str_ldl_order_advertise 		"广告"
str_ldl_order_conduct_hit 		"指导攻击"
str_ldl_order_settle 			"定居"
str_ldl_order_settle_in_city		"定居于城市"
str_ldl_order_nuke_city 		"核弹攻击城市"
str_ldl_order_disband_army 		"解散军队"
str_ldl_order_board_transport 		"登上运输部队"
str_ldl_order_unload 			"卸载"
str_ldl_order_upgrade			"升级"
str_ldl_order_launch 			"太空发射"
str_ldl_order_target 			"设定目标"
str_ldl_order_clear_target 		"清除目标"
str_ldl_order_fortify 			"驻防"
str_ldl_order_ranged_attack 		"远距攻击"
str_ldl_order_faith_healing 		"信仰疗法"
str_ldl_order_refuel 			"补充燃料" 
str_ldl_order_sleep 			"哨戒"

str_ldl_TradeYourCity 			"我国城市"
str_ldl_TradeGood 			"拥有这项特产"
str_ldl_TradeSendCity 			"此城愿意购买"
str_ldl_TradePrice 			"以"
str_ldl_TradeCaravans 			"商队"
str_ldl_TradeBonus				"Bonus"
str_ldl_TradeNation 			"国家"
str_ldl_CreateRoute 			"开辟贸易路线"
str_ldl_BreakRoute 			"中止贸易路线"
str_ldl_TradeShowAdvisor		"建言"
str_ldl_TradeHideAdvisor 		"建言"
str_ldl_TradeSummary 			"概要"
str_ldl_TradeImport				"Import"
str_ldl_TradeMarket 			"市场"

str_ldl_TradeSellingGood 		"卖"
str_ldl_TradeSellingToCity 		"给这座城市"

str_ldl_CaravansAvailable 		"可动用商队："
str_ldl_CaravansInUse 			"使用中商队："
str_ldl_TotalTradeProfit 		"整体贸易利润："
str_ldl_TotalPiracyLoss				"Expected Piracy Loss:"
str_ldl_TotalTransitProfit			"Total Transit Profit:"
str_ldl_TotalTradeRoutes 		"全部贸易路线："

str_ldl_TradeTitle 			"贸  易  官"
str_ldl_Advice 				"建言"
str_ldl_CityManagement 			"市政官"
str_ldl_Statistics 			"统计资料"

str_ldl_Nation 				"国家"
str_ldl_Regard 				"敬意"
str_ldl_Embassy 			"大使馆"
str_ldl_AlliancesTreaties 		"盟约/条约"

str_ldl_ShowHistory 			"显示历史"
str_ldl_Negotiations 			"返回协商"

str_ldl_DipNegotiationTable 		"谈判桌"

str_ldl_DiplomacyTitle 	"外  务  官"
str_ldl_Treaty "条约细目" 

str_ldl_UnitManagerTitle "军  务  官"
str_ldl_UnitStats "部队数据"
str_ldl_TacticalInfo "战术情报"
str_ldl_UnitName "部队名称"
str_ldl_NumberSign "#"
str_ldl_UnitType "部队类型"
str_ldl_SupportCost "军费"
str_ldl_ARDM "A/R/D/M"
str_ldl_A "A"
str_ldl_R "R"
str_ldl_D "D"
str_ldl_M "M"
str_ldl_MilitaryState "军事状态"
str_ldl_TotalUnits "全部部队："
str_ldl_DisbandUnits "解散部队"

str_ldl_Army "军队"
str_ldl_Order "下令"
str_ldl_Location "位置"
str_ldl_Health "健康"

str_ldl_UpkeepPercentFormat "军费：%d%% 生产力"
str_ldl_UpkeepTotalFormat "军费：%d 生产力"

str_ldl_number "#"
str_ldl_MilitaryAdvice "军事建言"

str_ldl_READINESS_LEVEL_PEACE "和平"
str_ldl_READINESS_LEVEL_ALERT "警戒"
str_ldl_READINESS_LEVEL_WAR "交战"

str_ldl_CheesyRightArrow "-->"
str_ldl_CheesyLeftArrow "<--"

str_ldl_DeclareWar "宣战"

# Generic percent symbol for UI controls.
str_ldl_PERCENT_SYMBOL	"%"

# Generic close button label
str_ldl_CLOSE_BUTTON	"关闭"

# New control panel strings.
str_ldl_CP_CITIES			"城市"
str_ldl_CP_TOT_POP			"人口"
str_ldl_CP_CUR_GOVT			"政体"
str_ldl_CP_PUBLIC_WORKS		"公共建设"
str_ldl_CP_SCIENCE			"科学"
str_ldl_CP_POLLUTION		"污染"
str_ldl_CP_GOVERNOR			"市长"
str_ldl_CP_IMPROVEMENTS		"设施"
str_ldl_CP_TERRAFORM		"改造地形"
str_ldl_CP_BUILD_QUEUE_EMPTY	"无预定建物"
str_ldl_CP_EDIT_BUILD_QUEUE		"编辑建造\n排程"

# Domestic Management
str_ldl_DOMESTIC_DIALOG_TITLE		"帝国官"
# Cause And Effect Tab Panel
str_ldl_DD_CNE_TAB					"内政方针"
str_ldl_DD_GOVERNMENT_TAB			"政体"
str_ldl_DD_RANKING_TAB				"排名"
str_ldl_DD_HAPPINESS				"帝国幸福度："
str_ldl_DD_RATIONS_LABEL			"粮给："
str_ldl_DD_WORKDAY_LABEL			"工时："
str_ldl_DD_WAGES_LABEL				"薪资："
str_ldl_DD_REQUIRED_LABEL			"需求："
str_ldl_DD_PUBLIC_WORKS_LABEL		"公共建设："
str_ldl_DD_SCIENCE_TAX_LABEL		"科学税："
str_ldl_DD_FOOD_TITLE				"食物"
str_ldl_DD_PRODUCTION_TITLE			"生产"
str_ldl_DD_COMMERCE_TITLE			"贸易"
str_ldl_DD_COLLECTED_LABEL			"收集："
str_ldl_DD_CRIME_LABEL				"犯罪："
str_ldl_DD_SUBTOTAL_LABEL			"小计："
str_ldl_DD_CONSUMED_LABEL			"消耗："
str_ldl_DD_STORED_LABEL				"贮存："
str_ldl_DD_UNIT_UPKEEP_LABEL		"部队维持费："
str_ldl_DD_CITY_USE_LABEL			"城市使用："
str_ldl_DD_BUILDING_UPKEEP_LABEL	"城市建筑维修费："
str_ldl_DD_SCIENCE_LABEL			"科学："
str_ldl_DD_SAVINGS_LABEL			"结余："
str_ldl_DD_DETAILS					"细节"
str_ldl_DD_OPTIMIZE_SLIDERS			"优选滑块"
str_ldl_DD_TERRAIN_LABEL			"地形："
str_ldl_DD_TCOMMERCE_LABEL			"商业："
str_ldl_DD_BUILDINGS_LABEL			"建筑："
