#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE				"Esta nación aún no ha olvidado su derrota en el combate con nosotros."
DIP_DETAILS_TREATY_RESEARCH_PACT_4			"Te instamos a firmar un pacto de investigación con nosotros. La investigación científica es una de nuestras prioridades."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_0			"Además, pedimos la firma de un pacto de investigación entre nuestros países. Nuestros científicos se beneficiarán de la dedicación a la investigación que compartimos."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_1			"Además, te proponemos la firma de un pacto de investigación. La buena voluntad que comparten nuestros países tan sólo puede mejorar con la dedicación a la investigación científica."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_2			"Además, te pedimos que consideres la posibilidad de firmar un pacto de investigación. Quedaríamos muy agradecidos, si cumples nuestros deseos de mejorar el rendimiento científico."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_3			"Además, te pedimos encarecidamente que accedas a firmar un pacto de investigación. Son muchos los beneficios y sería inteligente que nos hicieras un favor."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_4			"Además, necesitamos que firmes un pacto de investigación. No seas tan insensato como para rechazarnos." 

DIP_DETAILS_TREATY_MILITARY_PACT_0			"Te proponemos la firma de un pacto militar, garantizando que si uno de los dos países es atacado, nos defenderemos mutuamente."
DIP_DETAILS_TREATY_MILITARY_PACT_1			"Te proponemos la firma de un pacto militar. Los imperios que mantienen tan buenas relaciones deberían acceder a protegerse mutuamente."
DIP_DETAILS_TREATY_MILITARY_PACT_2			"Te proponemos la firma de un pacto militar. Acudiremos a defenderte y esperamos que estés dispuesto a hacer lo mismo." 
DIP_DETAILS_TREATY_MILITARY_PACT_3			"Te aconsejamos que firmes un pacto militar con nosotros. Los beneficios de tal acuerdo son evidentes."
DIP_DETAILS_TREATY_MILITARY_PACT_4			"Te aconsejamos la firma de un pacto militar. Esperamos que no seas tan obtuso como para no ver los beneficios de un acuerdo así." 
DIP_DETAILS_TREATY_MILITARY_PACT_EX_0			"Además, te proponemos que consideres la posibilidad de firmar un pacto militar con nosotros. Ambos podemos beneficiarnos de la tranquilidad que da un acuerdo como ese."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_1			"Además, te proponemos la firma de un pacto militar. Como amigos, debemos correr a defendernos mutuamente."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_2			"Además, te rogamos que accedas a firmar un pacto militar con nosotros. Podríamos gozar de tu apoyo, si alguna vez nos invadieran." 
DIP_DETAILS_TREATY_MILITARY_PACT_EX_3			"Además, te instamos a firmar un pacto militar con nosotros. Nuestro acuerdo para defendernos mutuamente podría garantizar nuestra supervivencia."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_4			"Además, debemos insistir en que firmes un pacto militar con nosotros."

DIP_DETAILS_TREATY_POLLUTION_PACT_0			"Te aconsejamos la firma de un pacto para reducir la contaminación en nuestros países. Bajo la responsabilidad ambiental, debemos mantener los niveles de contaminación en {value[0].value} p.u. o por debajo."
DIP_DETAILS_TREATY_POLLUTION_PACT_1			"Honrado líder, te proponemos un pacto para reducir la contaminación. Gracias a este acuerdo, controlaremos los niveles de contaminación y los mantendremos por debajo de {value[0].value} p.u."
DIP_DETAILS_TREATY_POLLUTION_PACT_2			"Te ofrecemos la posibilidad de aprobar un pacto de contaminación. Intentamos mantener los niveles de contaminación por debajo de {value[0].value} p.u. y esperamos que te unas a nosotros en este acuerdo."
DIP_DETAILS_TREATY_POLLUTION_PACT_3			"Te proponemos la firma de un pacto de contaminación con nosotros. Te pedimos que accedas a firmarlo, ya que será necesario que los dos mantengamos la contaminación por debajo de {value[0].value} p.u. a escala nacional."
DIP_DETAILS_TREATY_POLLUTION_PACT_4			"Te presentamos un pacto de contaminación para que lo firmes. Si lo firmas, ambos accedemos a mantener la contaminación a {value[0].value} p.u. o por debajo."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_0			"Además, te pedimos que consideres la posibilidad de firmar un pacto de contaminación con nosotros. Nuestros países deben luchar para mantener la contaminación bajo control y por debajo de {value[0].value} p.u."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_1			"Además, te proponemos la firma de un pacto de contaminación. Si mantenemos la contaminación en {value[0].value} p.u. o por debajo, los dos imperios se beneficiarán." 
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_2			"Además, te pedimos que accedas a firmar un pacto de contaminación con nuestro país. Nos comprometemos a mantener los niveles de contaminación por debajo de {value[0].value} p.u. Esperamos que pienses igual."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_3			"Además, te pedimos encarecidamente que firmes un pacto de contaminación con nosotros. Esperamos que te comprometas a que los niveles de contaminación nunca superen los {value[0].value} p.u."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_4			"Además, exigimos que firmes un pacto para reducir la contaminación, manteniendo los niveles en general por debajo de {value[0].value} p.u."

DIP_DETAILS_TREATY_ALLIANCE_0				"Honrado líder, nuestros países tienen objetivos e intereses comunes. Te proponemos una alianza para que juntos podamos gobernar el mundo." 
DIP_DETAILS_TREATY_ALLIANCE_1				"Te proponemos una alianza para dotar a nuestra amistad de la inmutabilidad del propósito."
DIP_DETAILS_TREATY_ALLIANCE_2				"Te proponemos una alianza, para garantizar que la paz entre nosotros nunca acabará."
DIP_DETAILS_TREATY_ALLIANCE_3				"Aunque eres más débil que nosotros, estamos dispuestos a firmar una alianza contigo. Puede que tu país nos sea de utilidad." 
DIP_DETAILS_TREATY_ALLIANCE_4				"Te ofrecemos una alianza. Es la oportunidad de estar a nuestro lado y te aconsejamos que la aproveches." 
DIP_DETAILS_TREATY_ALLIANCE_EX_0			"Además, te proponemos una alianza entre nuestros magníficos imperios, de manera que podamos vivir en paz y en buena posición durante muchas generaciones."
DIP_DETAILS_TREATY_ALLIANCE_EX_1			"Además, te proponemos una alianza, para celebrar la alta estima que tenemos el uno por el otro."
DIP_DETAILS_TREATY_ALLIANCE_EX_2			"Además, te rogamos que accedas a firmar una alianza con nosotros. Sería beneficioso para ambos."
DIP_DETAILS_TREATY_ALLIANCE_EX_3			"Además, te invitamos a aliarte con nuestro gran país. Sólo un insensato rechazaría una oportunidad así."
DIP_DETAILS_TREATY_ALLIANCE_EX_4			"Además, te pedimos encarecidamente que accedas a firmar una alianza con nosotros."

DIP_THREAT_NONE						"NINGUNO"
DIP_DETAILS_THREAT_NONE					"Si ves este mensaje, habla con Joe Rumsey. Es un problema."
DIP_THREAT_MASS_TROOPS					"Concentrar tropas"
DIP_DETAILS_THREAT_MASS_TROOPS				"Nos estás haciendo perder la paciencia. Si no cumples nuestras exigencias, concentraremos nuestras fuerzas en tus fronteras."
DIP_THREAT_INVADE					"Invadir"
DIP_DETAILS_THREAT_INVADE				"Si no cumples nuestras exigencias, invadiremos tu país y mataremos a toda tu gente."
DIP_THREAT_ATTACK_CITY					"Atacar ciudad"
DIP_DETAILS_THREAT_ATTACK_CITY				"Si no se cumplen nuestras exigencias inmediatamente, atacaremos {city[0].name} enseguida."
DIP_THREAT_ATTACK_ARMY					"Atacar ejército"
DIP_DETAILS_THREAT_ATTACK_ARMY				"¡Si no accedes, atacaremos a tus ejércitos!"
DIP_THREAT_PIRATE					"Piratear"
DIP_DETAILS_THREAT_PIRATE				"¡Si no se cumplen nuestras exigencias, ordenaremos que nuestros barcos pirateen tus rutas comerciales!"
DIP_THREAT_SPECIAL_ATTACK_CITY				"Ataque especial a la ciudad"
DIP_DETAILS_THREAT_SPECIAL_ATTACK_CITY			"Si no accedes a nuestras peticiones, saquearemos la ciudad de {city[0].name} con ataques poco convencionales."
DIP_THREAT_DESTROY_CITY					"Destruir la ciudad"
DIP_DETAILS_THREAT_DESTROY_CITY				"Si continúas desafiándonos, reduciremos la ciudad de {city[0].name} a escombros."
DIP_THREAT_PILLAGE					"Saquear"
DIP_DETAILS_THREAT_PILLAGE				"Si no cumples, saquearemos tu tierra sin piedad."
DIP_THREAT_JOIN_MILITARY_ALLY				"Alianza militar"
DIP_DETAILS_THREAT_JOIN_MILITARY_ALLY			"Si no accedes, formaremos una alianza con {player[2].civ_name_plural}."
DIP_THREAT_SELL_TECHNOLOGY				"Vender tecnología"
DIP_DETAILS_THREAT_SELL_TECHNOLOGY			"Si continúas rechazándonos, venderemos tecnología a los {player[2].civ_name_plural}."
DIP_THREAT_GIVE_AID					"Ayudar a un enemigo"
DIP_DETAILS_THREAT_GIVE_AID				"Si continúas discrepando con nosotros, ayudaremos a los {player[2].civ_name_plural}."
DIP_THREAT_END_AGREEMENT				"Fin del acuerdo"
DIP_DETAILS_THREAT_END_AGREEMENT			"Si no accedes, cancelaremos todos los acuerdos, pactos y tratados que tengamos contigo."
DIP_THREAT_TRADE_EMBARGO				"Embargo"
DIP_DETAILS_THREAT_TRADE_EMBARGO			"Si insistes en ser problemático, prohibiremos todo el comercio con tu país." 
DIP_THREAT_DECLARE_WAR					"Declarar la guerra"
DIP_DETAILS_THREAT_DECLARE_WAR				"¡Si no accedes, declararemos la guerra!"


str_ldl_ChooseAmount					"Elegir cantidad"
str_dip_ChooseCivFirst					"Elegir imperio receptor primero"
str_dip_CounterProposalHeader				"Contraproposición: "
str_dip_ResponseAccept					"Proposición aceptada"
str_dip_ResponseReject					"Proposición rechazada"
str_ldl_DipThreaten					"Amenazar"
str_ldl_MakeThreat					"Hacer amenaza"

##
## Pop-up Messages
##
POPUP_GENERIC_ACCEPT					"Los {player[1].civ_name_plural} han aceptado todos los términos de nuestra proposición."
POPUP_GENERIC_REJECT					"Los {player[1].civ_name_plural} han rechazado la proposición."
POPUP_GENERIC_THREAT_REJECT				"Los {player[1].civ_name_plural} han rechazado tu amenaza."
POPUP_DECLARE_WAR_ANNC					"Su Alteza, ¡los {player[1].civ_name_plural} nos han declarado la guerra!"

##
## CITY MANAGER
##

BUILD_GROWTH_ADVICE					"Deberías construir mejoras que contribuyan al crecimiento de la ciudad."
BUILD_PRODUCTION_ADVICE					"Esta ciudad necesita más producción. Deberías construir mejoras que impulsen la producción."
BUILD_GOLD_ADVICE					"El comercio está estancado en esta ciudad. Deberías considerar la construcción de mejoras comerciales para generar más oro."
BUILD_OFFENSE_ADVICE					"Nuestros generales reclaman nuevos ejércitos con los que luchar. Deberías construir unidades de ataque cuanto antes."
BUILD_SCIENCE_ADVICE					"Esta ciudad podría usar algunas mejoras que aumenten la ciencia."
BUILD_WONDERS_ADVICE					"Esta ciudad es extremadamente productiva. Deberías usar la amplitud de recursos disponibles para construir maravillas en esta ciudad."
BUILD_DEFENSE_ADVICE					"Esta ciudad no estará preparada en caso de ataque enemigo. Deberías construir edificios y unidades de defensa para que nuestro pueblo pueda vivir seguro."
BUILD_HAPPINESS_ADVICE					"Esta ciudad no es feliz. Se necesitan unas cuantas mejoras de felicidad para alegrar las vidas de nuestro pueblo."
BUILD_DEFAULT_ADVICE					"No hay consejo específico para esta ciudad. Todo parece estar en orden."

##
## EMPIRE MANAGER
##

# Slider Advice

SLIDERS_MAINTAIN_EXPECTATION_ADVICE			"Los niveles de sueldos, horas de trabajo, y raciones son buenos. No recomiendo cambiarlos en este momento."
SLIDERS_INCREASE_HAPPINESS_WITH_GOLD_ADVICE		"Tu pueblo no es feliz. Deberías considerar aumentarles el sueldo." 
SLIDERS_INCREASE_HAPPINESS_WITH_FOOD_ADVICE		"El pueblo no está conforme con la cantidad de alimentos que reciben. Deberías considerar aumentarles las raciones."
SLIDERS_INCREASE_HAPPINESS_WITH_WORKDAY_ADVICE		"Tu pueblo se siente sobrecargado. Deberías considerar reducir la duración de las horas de trabajo para darles un respiro. Te lo agradecerán, te lo garantizo."
SLIDERS_INCREASE_GROWTH_WITH_PRODUCTION			"Tenemos que aumentar el crecimiento en nuestro imperio. Si reduces las raciones, volverás a la gente desgraciada, pero se almacenará más alimento y el crecimiento se acelerará. Para contrarrestar la infelicidad que la disminución de raciones conlleva, deberías reducir las horas de trabajo también.<???>"
SLIDERS_INCREASE_SCIENCE_WITH_PRODUCTION		"Nuestra ciencia languidece por falta de apoyo. Deberíamos reducir los sueldos, liberando así más recursos para financiar esfuerzos científicos. Aunque esto haga a la gente infeliz, una disminución de sus horas de trabajo debería compensarles por el descontento."

# Government Advice

GOVERNMENT_ANARCHY_HIGHER_RANK_ADVICE			"Sugerimos que cambies tu gobierno a la anarquía; al menos es mejor que ningún gobierno en absoluto."
GOVERNMENT_ANARCHY_SAME_RANK_ADVICE			"Deberías considerar cambiar tu gobierno a la anarquía; al menos es mejor que ningún gobierno en absoluto."
GOVERNMENT_TYRANNY_SAME_RANK_ADVICE			"Te recomiendo que cambies tu gobierno a la tiranía. Conviene muy bien a ejército con mucho peso."
GOVERNMENT_TYRANNY_HIGHER_RANK_ADVICE			"Deberías considerar cambiar tu gobierno a la tiranía."
GOVERNMENT_MONARCHY_SAME_RANK_ADVICE			"Recomiendo cambiar tu gobierno a la monarquía. Contigo de soberano, nuestra nación prosperará y nuestro ejército será fuerte."
GOVERNMENT_MONARCHY_HIGHER_RANK_ADVICE			"Deberías considerar cambiar nuestro gobierno a la monarquía. Bajo tu gobierno, nuestro pueblo será más productivo, y disfrutará de prosperidad."
GOVERNMENT_THEOCRACY_SAME_RANK_ADVICE			"Recomiendo cambiar tu gobierno a la teocracia. Podemos expandir nuestro poder con los clérigos."
GOVERNMENT_THEOCRACY_HIGHER_RANK_ADVICE			"Deberías considerar gobernar este imperio como una teocracia. Es una mejor forma de gobierno. <temp>"
GOVERNMENT_REPUBLIC_SAME_RANK_ADVICE			"Recomiendo que cambiemos nuestra forma de gobierno. Como república tendremos paz y prosperidad."
GOVERNMENT_REPUBLIC_HIGHER_RANK_ADVICE			"Deberías considerar gobernar nuestra nación como una república. Conlleva muchos beneficios para la productividad, el crecimiento y la ciencia."
GOVERNMENT_DEMOCRACY_SAME_RANK_ADVICE			"Considera cambiar nuestro gobierno a la democracia. El comercio y la ciencia florecerán."
GOVERNMENT_DEMOCRACY_HIGHER_RANK_ADVICE			"Recomiendo que nos convirtamos en democracia. Nuestro pueblo está deseoso de alcanzar riquezas, aumentar la productividad y ser libre."
GOVERNMENT_COMMUNISM_SAME_RANK_ADVICE			"Recomiendo cambiar nuestro gobierno. Bajo el comunismo, nuestra nación tendrá una producción desmesurada." 
GOVERNMENT_COMMUNISM_HIGHER_RANK_ADVICE			"Bajo el comunismo, nuestra nación será productiva y poderosa, tanto militar como industrialmente. Recomiendo que cambiemos nuestra actual forma de gobierno a ese tipo de régimen."
GOVERNMENT_FASCISM_SAME_RANK_ADVICE			"Recomiendo cambiar nuestro gobierno al fascismo. Como dictador, gobernarás con mano de hierro. ¡Ninguna nación se atreverá a retar el poder de nuestros ejércitos!"
GOVERNMENT_FASCISM_HIGHER_RANK_ADVICE			"Deberías considerar gobernar nuestro imperio como un estado fascista. Los beneficios para la productividad y las fuerzas militares son sustanciales."
GOVERNMENT_ECOTOPIA_SAME_RANK_ADVICE			"Recomiendo que nos convirtamos en un imperio ecotópico y disfrutemos de los beneficios de un medio ambiente limpio."
GOVERNMENT_ECOTOPIA_HIGHER_RANK_ADVICE			"Un imperio ecotópico es un imperio próspero. Recomiendo que nos convirtamos en una ecotopía."
GOVERNMENT_CORPORATE_REPUBLIC_SAME_RANK_ADVICE		"Como república empresarial, nuestra nación será próspera y productiva. El comercio florecerá al igual que la ciencia. Recomiendo que cambiemos nuestro gobierno a la república empresarial."
GOVERNMENT_CORPORATE_REPUBLIC_HIGHER_RANK_ADVICE	"Deberías considerar cambiar nuestro gobierno a la república empresarial. El comercio, la producción, la ciencia y el crecimiento recibirán así un fuerte impulso."
GOVERNMENT_TECHNOCRACY_SAME_RANK_ADVICE			"Recomiendo que cambiemos de forma de gobierno. Como tecnocracia, nuestros científicos tendrán la libertad y la financiación necesaria para dominar el mundo con nuestros logros tecnológicos."
GOVERNMENT_TECHNOCRACY_HIGHER_RANK_ADVICE		"Deberías considerar cambiar nuestro gobierno a una tecnocracia. Nuestra nación marcará el camino a seguir en los adelantos científicos."
GOVERNMENT_VIRTUAL_DEMOCRACY_SAME_RANK_ADVICE		"Recomiendo cambiar nuestro gobierno actual a una democracia virtual, para que podamos disfrutar de prosperidad comercial."
GOVERNMENT_VIRTUAL_DEMOCRACY_HIGHER_RANK_ADVICE		"Deberías considerar cambiar nuestro gobierno a democracia virtual, de forma que nuestra nación sea próspera, brillante y libre."

##
## MILITARY MANAGER
##

NEEDED_UNIT_TYPE_ADVICE					"Nuestros militares están pidiendo más unidades {unitrecord[0].name}. Recomiendo que construyas más para que podamos mantener nuestras fuerzas frescas y fuertes."
LOW_MILITARY_RANK_ADVICE				"Aunque tenemos un ejército de talla considerable, deberíamos evitar la guerra con rivales poderosos hasta que podamos soportar más unidades."
HIGH_MILITARY_RANK_ADVICE				"Tenemos un ejército fuerte a nuestras órdenes. Deberíamos utilizarlo para avanzar en nuestros objetivos políticos."
TACTICAL_DEFEND_AREA_ADVICE				"Deberíamos enviar a unos batallones a defender la zona cercana a {city[0].name}."
AT_PEACE_READINESS_ADVICE				"No se prevén amenazas a nuestro imperio en este momento. Recomiendo cambiar nuestro estado militar a 'en paz'."
ALERT_READINESS_ADVICE					"En este momento hay un clima de hostilidad en el mundo. Nuestro estado militar debería mantenerse como 'en alerta' para estar listos si la situación se deteriora."
AT_WAR_READINESS_ADVICE					"Hay amenazas a nuestra soberanía a nuestro alrededor, eminencia. Nuestro ejército debería estar en estado militar de 'en guerra'. Tenemos que estar preparados para cualquier circunstancia."
TACTICAL_SEIGE_ADVICE					"La toma de {city[0].name} seguramente supondría más gloria para nuestra nación."
TACTICAL_ENTRENCH_ADVICE				"Deberías reforzar la presencia militar en {city[0].name} para mejorar su defensa."
TACTICAL_TURGIDSON_ADVICE				"Tenemos superioridad nuclear sobre los {player[0].civ_name_plural}. El general Turgidson sugiere que si lanzamos un ataque inmediato en bloque y un ataque coordinado a todas sus bases aéreas y de misiles, tenemos muchas probabilidades de pillarlos 'con los pantalones bajados'."

##
## SCIENCE MANAGER
##

ENEMY_HAS_ADVANCE_ADVICE				"Los {player[0].civ_name_plural} tienen el adelanto de {advance[0].name}, adelanto que es clave para nuestros intereses. Deberíamos adquirirlo como sea."
ALLY_HAS_ADVANCE_ADVICE					"Nuestros amigos los {player[0].civ_name_plural} han descubierto los secretos de {advance[0].name}. Este conocimiento nos beneficiaría en gran medida. Deberíamos instar a los {player[0].civ_name_plural} a compartir este conocimiento con nosotros."
KEY_ADVANCE_ADVICE					"Nuestros mejores científicos recomiendan investigar {advance[0].name}. Sugiero que sigamos su consejo."
NON_PROLIFERATION_ADVICE				"Deberías exigir a los {player[0].civ_name_plural} que cesen inmediatamente la investigación de {advance[0].name}. ¡No podemos permitirnos que nos alcancen!" 
MANHATTAN_PROJECT_ADVICE				"Los informes de los servicios de inteligencia confirman que el programa de investigación de {player[0].civ_name_singular} está próximo a alcanzar el descubrimiento de {advance[0].name}. Esto es una amenaza directa para nuestra seguridad nacional. Si dejamos que los {player[0].civ_name_plural} alcancen este descubrimiento antes que nosotros, ¡no habrá forma de detenerlos!"
KEY_MILITARY_ADVANCE_ADVICE				"Si lográsemos descubrir los secretos de {advance[0].name}, seríamos capaces de construir <unit[0].name>, lo que nos daría un poder inigualable en el campo de batalla."
KEY_SCIENCE_ADVANCE_ADVICE				"Si queremos seguir siendo competitivos en el campo de los descubrimientos científicos, tenemos que descubrir los secretos de {advance[0].name}. Con ello, lograríamos un impulso significativo para nuestros esfuerzos de investigación."
KEY_GROWTH_ADVANCE_ADVICE				"Con el fin de que la población de nuestra nación siga creciendo, tenemos que descubrir los secretos de {advance[0].name}."
