## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Cette nation est mécontente des pertes que nous lui avons fait subir."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_3 "En outre, nous vous exhortons à signer un pacte militaire avec nous. Un tel accord de protection mutuelle pourrait bien assurer notre survie."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_4 "Nous vous recommandons en outre de signer un pacte militaire avec nous."
DIP_DETAILS_TREATY_POLLUTION_PACT_0 "Nous vous suggérons d'accepter ce pacte de lutte contre la pollution. Au nom de notre responsabilité vis à vis de l'environnement, il serait bon de ramener nos niveaux de pollution en dessous de {value[0].value} ou moins."
DIP_DETAILS_TREATY_POLLUTION_PACT_1 "Eminent dirigeant, nous vous proposons un pacte anti-pollution. A ce titre, nous tâcherons de maîtriser nos niveaux de pollution en les ramenant globalement en deçà de {value[0].value}."
DIP_DETAILS_TREATY_POLLUTION_PACT_2 "Nous aimerions que vous acceptiez de signer notre pacte anti-pollution. Notre objectif est de ramener nos niveaux de pollution en deçà de {value[0].value}. Nous espérons que vous vous associerez à nous dans cette quête."
DIP_DETAILS_TREATY_POLLUTION_PACT_3 "Nous vous proposons un pacte anti-pollution. Nous vous exhortons à le signer, il ne s'agira que de ramener notre pollution nationale en dessous de {value[0].value}."
DIP_DETAILS_TREATY_POLLUTION_PACT_4 "Nous vous soumettons un pacte anti-pollution. En le signant, nous acceptons de réduire la pollution à {value[0].value} ou moins."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_0 "En outre, nous vous demandons d'envisager la signature d'un pacte anti-pollution. Nos nations doivent s'efforcer de maîtriser leurs niveaux de pollution, en les ramenant sous la barre des {value[0].value}."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_1 "En outre, nous sommes prêts à signer un pacte anti-pollution avec vous. Réduire notre niveau de pollution à {value[0].value} ou moins ne pourra que nous être bénéfique."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_2 "En outre, nous vous demandons d'accepter un pacte anti-pollution. Nous nous engageons à ce que notre niveau global de pollution soit inférieur à {value[0].value} et espérons que vous ferez de même."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_3 "En outre, nous vous conseillons fortement de cosigner un pacte anti-pollution. Nous espérons que vous vous engagerez à ce que vos niveaux de pollution ne dépassent jamais {value[0].value}."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_4 "En outre, nous vous demandons de signer un pacte de réduction de la pollution et ainsi de ramener votre niveau global sous la barre des {value[0].value}."
DIP_DETAILS_TREATY_ALLIANCE_0 "Honorable dirigeant, nos nations partagent des objectifs et des intérêts communs. Nous vous proposons donc une alliance en vue de dominer le monde."
DIP_DETAILS_TREATY_ALLIANCE_1 "Nous vous proposons une alliance qui immortalisera l'amitié qui nous unit."
DIP_DETAILS_TREATY_ALLIANCE_2 "Nous vous proposons une alliance qui scellera à jamais la paix qui règne entre nos deux nations."
DIP_DETAILS_TREATY_ALLIANCE_3 "Malgré notre supériorité, nous sommes disposés à conclure une alliance avec vous. Votre nation pourrait bien nous être utile."
DIP_DETAILS_TREATY_ALLIANCE_4 "Nous vous proposons une alliance. Ce sera pour vous l'occasion ou jamais d'être à nos côtés et nous vous recommandons de la saisir."
DIP_DETAILS_TREATY_ALLIANCE_EX_0 "En outre, nous proposons une alliance entre nos deux empires. Nous resterons ainsi en paix et assurerons la prospérité des générations à venir."
DIP_DETAILS_TREATY_ALLIANCE_EX_1 "En outre, nous vous proposons une alliance qui ne fera que mettre en exergue notre estime mutuelle."
DIP_DETAILS_TREATY_ALLIANCE_EX_2 "En outre, nous vous implorons d'accepter une alliance. Celle-ci serait bénéfique à nos deux nations."
DIP_DETAILS_TREATY_ALLIANCE_EX_3 "En outre, nous vous invitons à vous associer à notre éminente nation. Ce serait pure folie que de refuser telle proposition."
DIP_DETAILS_TREATY_ALLIANCE_EX_4 "En outre, nous vous conseillons vivement de vous allier à nous."

DIP_THREAT_NONE "AUCUNE"
DIP_DETAILS_THREAT_NONE "Si vous voyez ce message, allez voir Joe Rumsey.  C'est un bogue."
DIP_THREAT_MASS_TROOPS "Masser des troupes"
DIP_DETAILS_THREAT_MASS_TROOPS "Notre patience a des limites. Si vous ne répondez pas à notre demande, nous allons masser des troupes à vos frontières."
DIP_THREAT_INVADE "Envahir"
DIP_DETAILS_THREAT_INVADE "Si vous ne parvenez pas à satisfaire nos exigences, nous allons envahir votre territoire et massacrer votre peuple."
DIP_THREAT_ATTACK_CITY "Attaquer la ville"
DIP_DETAILS_THREAT_ATTACK_CITY "Si nos exigences ne sont pas respectées, nous attaquerons {city[0].name} sur-le-champ."
DIP_THREAT_ATTACK_ARMY "Attaquer l'armée"
DIP_DETAILS_THREAT_ATTACK_ARMY "En cas de litige, nous allons attaquer vos armées !"
DIP_THREAT_PIRATE "Pirater"
DIP_DETAILS_THREAT_PIRATE "Si nos exigences ne sont pas satisfaites, nos navires recevront l'ordre de pirater vos routes commerciales !"
DIP_THREAT_SPECIAL_ATTACK_CITY "Attaque spéciale de la ville"
DIP_DETAILS_THREAT_SPECIAL_ATTACK_CITY "Si vous n'accédez pas à notre requête, nous allons ravager la ville de {city[0].name} avec des armes non conventionnelles."
DIP_THREAT_DESTROY_CITY "Détruire la ville"
DIP_DETAILS_THREAT_DESTROY_CITY "Si vous continuez à nous défier, la ville de {city[0].name} ne sera bientôt plus qu'un amas de décombres."
DIP_THREAT_PILLAGE "Pillage"
DIP_DETAILS_THREAT_PILLAGE "Si vous ne vous conformez pas à nos désirs, nous pillerons votre territoire sans délai."
DIP_THREAT_JOIN_MILITARY_ALLY "Former une alliance militaire"
DIP_DETAILS_THREAT_JOIN_MILITARY_ALLY "En cas de désaccord,  nous allons former une alliance avec les {player[2].civ_name_plural}."
DIP_THREAT_SELL_TECHNOLOGY "Vendre des technologies"
DIP_DETAILS_THREAT_SELL_TECHNOLOGY "Si nous continuons d'essuyer des refus de votre part, nous allons vendre des technologies aux {player[2].civ_name_plural}."
DIP_THREAT_GIVE_AID "Aider l'ennemi"
DIP_DETAILS_THREAT_GIVE_AID "Si vous continuez à nous contrarier, nous allons venir en aide aux {player[2].civ_name_plural}."
DIP_THREAT_END_AGREEMENT "Annuler l'accord"
DIP_DETAILS_THREAT_END_AGREEMENT "En cas d'opposition, nous allons annuler tous les accords, pactes et traités conclus avec vous."
DIP_THREAT_TRADE_EMBARGO "Embargo"
DIP_DETAILS_THREAT_TRADE_EMBARGO "Si vous continuez à nous faire des difficultés, nous allons mettre un embargo sur tous les échanges commerciaux avec vous."
DIP_THREAT_DECLARE_WAR "Déclarer la guerre"
DIP_DETAILS_THREAT_DECLARE_WAR "En cas de litige, nous vous déclarerons la guerre !"


str_ldl_ChooseAmount "Choisir une somme"
str_dip_ChooseCivFirst "Choisir d'abord le pays destinataire."
str_dip_CounterProposalHeader "Contre-proposition : "
str_dip_ResponseAccept "Proposition acceptée."
str_dip_ResponseReject "Proposition refusée."
str_ldl_DipThreaten "Menacer"
str_ldl_MakeThreat "Proférer des menaces"

##
##	Pop-up Messages
##
POPUP_GENERIC_ACCEPT "Les {player[1].civ_name_plural} ont accepté tous les termes de votre proposition."
POPUP_GENERIC_REJECT "Les {player[1].civ_name_plural} ont refusé la proposition."
POPUP_GENERIC_THREAT_REJECT "Les {player[1].civ_name_plural} ont fait fi de votre menace."
POPUP_DECLARE_WAR_ANNC "Votre Eminence, les {player[1].civ_name_plural} nous ont déclaré la guerre !"

##
##	CITY MANAGER
##

BUILD_GROWTH_ADVICE "Vous devriez construire des aménagements qui contribuent à la croissance de la ville."
BUILD_PRODUCTION_ADVICE "Cette ville n'est pas assez productive. Construisez des aménagements de cases et de ville permettant d'accroître la production."
BUILD_GOLD_ADVICE "Dans cette ville, le commerce stagne. Vous devriez envisager d'y construire des aménagements commerciaux afin de générer davantage d'or."
BUILD_OFFENSE_ADVICE "Nos généraux réclament de nouvelles armées prêtes au combat. Construisez des unités offensives dès que possible."
BUILD_SCIENCE_ADVICE "Cette ville pourrait améliorer sa production scientifique grâce à quelques aménagements."
BUILD_WONDERS_ADVICE "Cette ville est extrêmement productive. Vous devriez utiliser cet atout pour y construire des merveilles."
BUILD_DEFENSE_ADVICE "Cette ville n'est pas prête à l'éventualité d'une attaque ennemie. Vous devriez construire des bâtiments et des unités défensives afin d'assurer la sécurité de ses citoyens."
BUILD_HAPPINESS_ADVICE "Le niveau de bonheur de cette ville est faible. La construction d'aménagements devrait égayer la vie de nos citoyens."
BUILD_DEFAULT_ADVICE "Je n'ai pas de conseil spécifique à donner à propos de cette ville. Tout semble être en ordre."

##
##  EMPIRE MANAGER
##

# Slider Advice

SLIDERS_MAINTAIN_EXPECTATION_ADVICE "Les salaires, la durée de travail et les rations sont convenables. Je ne vois aucun motif de changement pour le moment."
SLIDERS_INCREASE_HAPPINESS_WITH_GOLD_ADVICE "Notre population est insatisfaite ! Vous devriez envisager d'augmenter les salaires."
SLIDERS_INCREASE_HAPPINESS_WITH_FOOD_ADVICE "Les citoyens ne sont pas satisfaits de la quantité de nourriture qu'ils reçoivent. Il serait temps d'augmenter leurs rations."
SLIDERS_INCREASE_HAPPINESS_WITH_WORKDAY_ADVICE "Vos citoyens se sentent surmenés. Essayez de réduire la durée de la journée de travail de façon à ce qu'ils se reposent. Ils vous en seraient reconnaissants."
SLIDERS_INCREASE_GROWTH_WITH_PRODUCTION "Nous devons accélérer la croissance de notre empire. Si vous réduisez les rations, le mécontentement augmentera mais nous pourrons ainsi stocker davantage de nourriture et croître plus rapidement. Pour compenser l'insatisfaction associée à la baisse des rations, il faudra également réduire la durée de la journée de travail."
SLIDERS_INCREASE_SCIENCE_WITH_PRODUCTION "Nos projets scientifiques traînent, faute de moyens. Nous devrions réduire les salaires, ce qui libérera davantage de ressources pour subventionner les efforts de recherche. Les citoyens risquent d'être mécontents mais pour compenser, nous pourrions réduire la durée du temps de travail."

# Government Advice

GOVERNMENT_ANARCHY_HIGHER_RANK_ADVICE "Je vous suggère de passer à l'anarchie ; c'est toujours mieux que de ne pas avoir de gouvernement du tout."
GOVERNMENT_ANARCHY_SAME_RANK_ADVICE "Vous devriez envisager de passer à l'anarchie ; c'est toujours mieux qu'une absence totale de gouvernement."
GOVERNMENT_TYRANNY_SAME_RANK_ADVICE "Je vous recommande de passer à la tyrannie. Cette forme de gouvernement convient parfaitement à une armée forte."
GOVERNMENT_TYRANNY_HIGHER_RANK_ADVICE "Vous devriez envisager la tyrannie."
GOVERNMENT_MONARCHY_SAME_RANK_ADVICE "Je vous recommande de changer de régime et de passer à la monarchie. Avec vous comme souverain, notre nation sera prospère et notre armée puissante."
GOVERNMENT_MONARCHY_HIGHER_RANK_ADVICE  "Vous devriez envisager de passer à la monarchie. Sous votre règne, notre peuple sera plus productif et notre nation prospère."
GOVERNMENT_THEOCRACY_SAME_RANK_ADVICE "Je vous conseille de passer à la théocratie. Grâce aux prêtres, nous allons étendre notre pouvoir."
GOVERNMENT_THEOCRACY_HIGHER_RANK_ADVICE "Vous devriez envisager de gouverner cet empire sous le régime de la théocratie. Un gouvernement reposant sur la foi est un gouvernement puissant."
GOVERNMENT_REPUBLIC_SAME_RANK_ADVICE "Je recommande un changement de régime. Une république nous garantira paix et prospérité."
GOVERNMENT_REPUBLIC_HIGHER_RANK_ADVICE "Vous devriez envisager la république pour gouverner cette nation. Ce type de gouvernement est bénéfique à la productivité, la croissance et la science."
GOVERNMENT_DEMOCRACY_SAME_RANK_ADVICE "Envisageons de passer à la démocratie. La commerce et la science n'en seront que plus prospères."
GOVERNMENT_DEMOCRACY_HIGHER_RANK_ADVICE "Il serait bon que nous devenions une démocratie. Notre people aspire à la richesse, à une meilleure productivité et à la liberté."
GOVERNMENT_COMMUNISM_SAME_RANK_ADVICE "Je suis d'avis que nous changions de gouvernement. Sous le communisme, notre nation sera plus productive que jamais."  
GOVERNMENT_COMMUNISM_HIGHER_RANK_ADVICE "Sous un régime communiste, notre nation sera productive et puissante sur les plans militaire et industriel. Il serait bon que nous passions à ce type de gouvernement."
GOVERNMENT_FASCISM_SAME_RANK_ADVICE "Il serait préférable que nous passions au régime fasciste. En tant que dictateur, vous ferez régner une discipline de fer dans le monde. Aucune nation n'osera défier votre puissance militaire !"
GOVERNMENT_FASCISM_HIGHER_RANK_ADVICE "Vous devriez envisager de donner à votre empire un régime de type fasciste. Cela devrait être bénéfique à la productivité et à notre puissance militaire."
GOVERNMENT_ECOTOPIA_SAME_RANK_ADVICE "Il serait bon que nous devenions un empire écotopien, jouissant d'un environnement sain."
GOVERNMENT_ECOTOPIA_HIGHER_RANK_ADVICE "Un empire écotopien est un empire prospère. Vous devriez envisager de passer à ce type de régime."
GOVERNMENT_CORPORATE_REPUBLIC_SAME_RANK_ADVICE "En tant que république corporatiste, notre nation sera à la fois productive et prospère. Le commerce sera florissant, de même que la science. Je suggère que nous passions à ce type de gouvernement."
GOVERNMENT_CORPORATE_REPUBLIC_HIGHER_RANK_ADVICE "Vous devriez envisager de devenir une république corporatiste. La commerce, la production, la science et la croissance en seront stimulés."
GOVERNMENT_TECHNOCRACY_SAME_RANK_ADVICE "Je suggère que nous changions de type de gouvernement. Sous le régime de la technocratie, nos scientifiques auront les moyens de dominer les technologies à l'échelle mondiale."
GOVERNMENT_TECHNOCRACY_HIGHER_RANK_ADVICE "Je suggère que nous devenions une technocratie. Notre nation ouvrira ainsi la voie dans le domaine des sciences."
GOVERNMENT_VIRTUAL_DEMOCRACY_SAME_RANK_ADVICE "Il serait bon que nous transformions notre gouvernement actuel en démocratie virtuelle. Notre commerce sera plus florissant que jamais."
GOVERNMENT_VIRTUAL_DEMOCRACY_HIGHER_RANK_ADVICE "Vous devriez envisager de passer à la démocratie virtuelle. Nous serions ainsi une nation prospère, éclairée et libérale."

##
##  MILITARY MANAGER
##

NEEDED_UNIT_TYPE_ADVICE "Notre armée exige davantage d'unités du type {unitrecord[0].name}. Je vous conseille d'en construire d'autres pour que nos forces se renouvellent."
LOW_MILITARY_RANK_ADVICE "Bien que notre puissance militaire soit satisfaisante, il serait préférable de ne pas affronter des rivaux de taille avant de disposer de davantage d'unités."
HIGH_MILITARY_RANK_ADVICE "Nous disposons d'une armée forte sous notre commandement. Celle-ci nous aidera à poursuivre nos objectifs politiques."
TACTICAL_DEFEND_AREA_ADVICE "Nous devrions envoyer des troupes pour défendre la zone qui entoure {city[0].name}."
AT_PEACE_READINESS_ADVICE "Pour le moment, aucune menace ne s'exerce sur notre empire. Je suggère que nous restions 'Au repos'."
ALERT_READINESS_ADVICE "Actuellement, un climat d'hostilité règne dans le monde. Notre armée devrait rester 'En état d'alerte'. Ainsi, nous serons prêts au cas où les choses tourneraient mal."
AT_WAR_READINESS_ADVICE "Notre souveraineté est menacée de toutes parts, votre Eminence. Notre armée devrait rester 'Sur le pied de guerre'. Nous devons nous préparer à toute éventualité."
TACTICAL_SEIGE_ADVICE "Une prise de contrôle de {city[0].name} assurerait la gloire de notre nation."
TACTICAL_ENTRENCH_ADVICE "Vous devriez renforcer les troupes de {city[0].name} afin d'accroître sa défense."
TACTICAL_TURGIDSON_ADVICE "Sur le plan nucléaire, nous sommes supérieurs aux {player[0].civ_name_plural}. Le général Turgidson suggère de lancer immédiatement une attaque coordonnée sur le plus de villes possibles, de façon à pouvoir les prendre par surprise."

##
##  SCIENCE MANAGER
##

ENEMY_HAS_ADVANCE_ADVICE "Les {player[0].civ_name_plural} possèdent {advance[0].name#article}, un progrès qui nous est indispensable. Nous devons essayer de l'acquérir par tous les moyens."
ALLY_HAS_ADVANCE_ADVICE "Nos amis les {player[0].civ_name_plural} ont découvert {advance[0].name#article}. Nous aurions tout à gagner de cette découverte et devrions ainsi inciter les {player[0].civ_name_plural} à nous en faire part."
KEY_ADVANCE_ADVICE "Nos meilleurs scientifiques nous suggèrent de faire des recherches sur {advance[0].name#article}. Il serait bon, selon moi, que nous suivions leur conseil."
NON_PROLIFERATION_ADVICE "Vous devriez demander aux {player[0].civ_name_plural} d'interrompre immédiatement leurs recherches sur {advance[0].name#article}. Nous ne pouvons pas nous permettre de les laisser nous rattraper !" 
MANHATTAN_PROJECT_ADVICE "D'après le service de renseignements, le programme de recherches des {player[0].civ_name_plural} va bientôt aboutir à la découverte {advance[0].name#preposition}. Cet événement constitue une menace directe pour notre sécurité nationale. Si nous laissons les {player[0].civ_name_plural} faire cette découverte avant nous, nous ne pourrons plus les arrêter !"
KEY_MILITARY_ADVANCE_ADVICE "Si nous pouvions découvrir {advance[0].name#article}, nous serions en mesure de construire des unités du type <unit[0].name>, ce qui nous donnerait une puissance sans précédent sur le champ de bataille."
KEY_SCIENCE_ADVANCE_ADVICE "Si nous voulons rester compétitifs sur le plan scientifique, nous devons découvrir {advance[0].name#article}. Cela devrait sensiblement renforcer nos efforts de recherche."
KEY_GROWTH_ADVANCE_ADVICE "Si nous voulons que la population continue de s'accroître, nous devons découvrir {advance[0].name#article}."
