# Control Panel
#	Diplomacy Advice Window
STATUSBAR_DIPMAN_ADVICE_RECOMMEND_DISPLAY	"Die Empfehlung Ihres diplomatischen Beraters."
TOOLTIP_DIPMAN_ADVICE_RECOMMEND_DISPLAY		"Ratschlag"
STATUSBAR_DIPMAN_ADVICE_LEADERPIC_DISPLAY	"Dies ist das Staatsoberhaupt {player[0].civ_name_plural#ARTICLE_GEN}."
TOOLTIP_DIPMAN_ADVICE_LEADERPIC_DISPLAY	"Das Staatsoberhaupt {player[0].civ_name_plural#ARTICLE_GEN}"

#	History Window
STATUSBAR_DIPMAN_HIST_RECVHIST_BUTTON	"Alle eingegangenen Gesuche."
TOOLTIP_DIPMAN_HIST_RECVHIST_BUTTON	"Erhaltene Gesuche"
STATUSBAR_DIPMAN_HIST_SHOWTEXT_BUTTON	"Der Textinhalt des Gesuchs."
TOOLTIP_DIPMAN_HIST_SHOWTEXT_BUTTON	"Inhalt"
STATUSBAR_DIPMAN_SENDHIST_BUTTON	"Alle bereits abgeschickten Gesuche."
TOOLTIP_DIPMAN_SENDHIST_BUTTON		"Gesendete Gesuche"

# The Great Big Stinkin' Library
STATUSBAR_GL_BACK_BUTTON		"Wechselt zur vorigen Neuerung."
TOOLTIP_GL_BACK_BUTTON			"Zurück"
STATUSBAR_GL_FORWARD_BUTTON		"Wechselt zur nächsten Neuerung in der Liste."
TOOLTIP_GL_FORWARD_BUTTON		"Vor"
STATUSBAR_GL_SHOWADV_BUTTON		"Öffnet die Liste der Neuerungen."
TOOLTIP_GL_SHOWADV_BUTTON		"Neuerungen"
STATUSBAR_GL_SHOWUNITS_BUTTON		"Öffnet die Liste der Einheiten."
TOOLTIP_GL_SHOWUNITS_BUTTON		"Einheiten"
STATUSBAR_GL_SHOWCITYIMP_BUTTON	"Öffnet die Liste der Stadt-Modernisierungen."
TOOLTIP_GL_SHOWCITYIMP_BUTTON		"Stadt-Modernisierungen"
STATUSBAR_GL_SHOWWONDERS_BUTTON	"Öffnet die Liste der Weltwunder."
TOOLTIP_GL_SHOWWONDERS_BUTTON		"Weltwunder"
STATUSBAR_GL_SHOWTERRAIN_BUTTON	"Öffnet die Liste der Geländefelder."
TOOLTIP_GL_SHOWTERRAIN_BUTTON		"Gelände"
STATUSBAR_GL_SHOWGOODS_BUTTON		"Öffnet die Liste der Handelsgüter."
TOOLTIP_GL_SHOWGOODS_BUTTON		"Handelsgüter"
STATUSBAR_GL_SHOWTILEIMP_BUTTON	"Öffnet die Liste der Feld-Modernisierungen."
TOOLTIP_GL_SHOWTILEIMP_BUTTON		"Feld-Modernisierungen"
STATUSBAR_GL_SHOWGOVS_BUTTON		"Öffnet die Liste der Regierungsformen."
TOOLTIP_GL_SHOWGOVS_BUTTON		"Regierungsformen"
STATUSBAR_GL_SHOWSPECIAL_BUTTON	"Öffnet die Liste der Spezialobjekte."
TOOLTIP_GL_SHOWSPECIAL_BUTTON		"Spezialobjekte"
STATUSBAR_GL_SHOWCONCEPTS_BUTTON	"Öffnet die Liste der Konzepte."
TOOLTIP_GL_SHOWCONCEPTS_BUTTON	"Konzepte"
STATUSBAR_GL_ENTERSEARCH_BUTTON	"Sucht nach Eingabe eines Schlüsselbegriffs nach einem bestimmten Objekt."
TOOLTIP_GL_ENTERSEARCH_BUTTON		"Suchwort eingeben"
STATUSBAR_GL_SEARCHTEXT_BOX_DISPLAY	"Sucht nach Eingabe von Schlüsselbegriffen nach bestimmten Objekten."
TOOLTIP_GL_SEARCHTEXT_BOX_DISPLAY	"Suchwort eingeben"
STATUSBAR_GL_STATSBOX_DISPLAY		"Öffnet die Statusliste für ein bestimmtes Objekt."
TOOLTIP_GL_STATSBOX_DISPLAY		"Status"
STATUSBAR_GL_GAMEPLAY_TAB_BUTTON	"Zeigt nach Auswahl eines Objekts dessen Auswirkungen im Spiel an."
TOOLTIP_GL_GAMEPLAY_TAB_BUTTON	"Spielauswirkungen"
STATUSBAR_GL_HISTORY_TAB_BUTTON	"Eine kurze historische Beschreibung des Objekts."
TOOLTIP_GL_HISTORY_TAB_BUTTON		"Historischer Kontext"
STATUSBAR_GL_TECHTREE_TAB_BUTTON	"Der Technologiebaum."
TOOLTIP_TECHTREE_TAB_BUTTON		"Technologiebaum"
STATUSBAR_GL_CLOSE_BUTTON		"Schließt die Lexikothek und kehrt zum Spiel zurück."
TOOLTIP_GL_CLOSE_BUTTON			"Lexikothek schließen"

# Ranking Screen
STATUSBAR_RANKSCRN_YEARTURN_TOGGLE_BUTTON		"Schaltet zwischen Jahres- und Rundenangabe um."
TOOLTIP_RANKSCRN_YEARTURN_TOGGLE_BUTTON     "Jahr/Runde"
STATUSBAR_RANKSCRN_SELECT_MEASURE_DISPLAY		"Ermöglicht die Auswahl einer Maßeinheit zum Nationenvergleich."
TOOLTIP_RANKSCRN_SELECT_MEASURE_DISPLAY		"Maßeinheit wählen"
STATUSBAR_RANKSCRN_CLOSE_BUTTON			"Schließt die Rangliste und kehrt zum Spiel zurück."
TOOLTIP_RANKSCRN_CLOSE_BUTTON				"Schließen"

### ADDED 10-07-00 ###

TOOLTIP_DIPMAN_INTEL_REG_HOTWAR_BUTTON		"Sie verabscheuen uns."
TOOLTIP_DIPMAN_INTEL_REG_COLDWAR_BUTTON		"Sie mögen uns nicht."
TOOLTIP_DIPMAN_INTEL_REG_NEUTRAL_BUTTON		"Sie respektieren uns."
TOOLTIP_DIPMAN_INTEL_REG_FRIEND_BUTTON		"Sie bewundern uns."
TOOLTIP_DIPMAN_INTEL_REG_ALLIED_BUTTON		"Sie lieben uns!"

TOOLTIP_DIPMAN_INTEL_TRUST_HOTWAR_BUTTON	"  Sie sind argwöhnisch."
TOOLTIP_DIPMAN_INTEL_TRUST_COLDWAR_BUTTON	"  Sie sind misstrauisch."
TOOLTIP_DIPMAN_INTEL_TRUST_NEUTRAL_BUTTON	"  Sie sind wachsam."
TOOLTIP_DIPMAN_INTEL_TRUST_FRIEND_BUTTON	"  Sie vertrauen uns."
TOOLTIP_DIPMAN_INTEL_TRUST_ALLIED_BUTTON	"  Sie sind arglos."
